vault,block_start,block_end,num_swaps,vol_token0,vol_token1
WBTC-USDC,19208958,19218957,51,0.86974273,75376.37748900
WBTC-USDC,19218958,19228957,53,0.89459019,77383.48649700
WBTC-USDC,19228958,19238957,183,2.07448776,180887.61503700
WBTC-USDC,19238958,19248957,856,10.82907227,949919.43999300
WBTC-USDC,19248958,19258957,160,2.55080380,219567.09851400
WBTC-USDC,19258958,19268957,80,1.33089887,114322.02177000
WBTC-USDC,19268958,19278957,25,0.64270493,55280.11600600
WBTC-USDC,19278958,19288957,108,1.39757097,120743.87742800
WBTC-USDC,19288958,19298957,64,0.36742802,31784.91977200
WBTC-USDC,19298958,19308957,57,0.52588373,45670.24296300
WBTC-USDC,19308958,19318957,32,0.40067480,34910.63252900
WBTC-USDC,19318958,19328957,630,8.12917858,716421.73268000
WBTC-USDC,19328958,19338957,537,6.99429868,608240.39992100
WBTC-USDC,19338958,19348957,312,4.43328418,378519.86487400
WBTC-USDC,19348958,19358957,171,2.29495589,196102.54065500
WBTC-USDC,19358958,19368957,46,0.87965578,75134.09846000
WBTC-USDC,19368958,19378957,390,3.82974664,331456.49646900
WBTC-USDC,19378958,19388957,186,1.50071037,131310.54737700
WBTC-USDC,19388958,19398957,95,0.74165051,65150.96998400
WBTC-USDC,19398958,19408957,60,0.70846810,62268.34217700
WBTC-USDC,19408958,19418957,442,5.51277172,485424.15817300
WBTC-USDC,19418958,19428957,256,3.76110321,329090.25637500
WBTC-USDC,19428958,19438957,144,2.16993353,190563.77383000
WBTC-USDC,19438958,19448957,74,0.52444453,46150.44948100
WBTC-USDC,19448958,19458957,14,0.13970573,12292.03743700
WBTC-USDC,19458958,19468957,37,0.26049046,22967.74691300
WBTC-USDC,19468958,19478957,30,0.07975837,7029.31542800
WBTC-USDC,19478958,19488957,16,0.05801362,5109.35539000
WBTC-USDC,19488958,19498957,50,0.68083687,59895.60958800
WBTC-USDC,19498958,19508957,26,0.11991069,10551.65871500
WBTC-USDC,19508958,19518957,16,0.12413718,10934.81116400
WBTC-USDC,19518958,19528957,18,0.15924444,14035.15868100
WBTC-USDC,19528958,19538957,32,0.20145933,17741.51889800
WBTC-USDC,19538958,19548957,20,0.19967691,17546.24521800
WBTC-USDC,19548958,19558957,4,0.02435105,2141.23553500
WBTC-USDC,19558958,19568957,73,0.70526788,62340.06665000
WBTC-USDC,19568958,19578957,40,0.29962587,26518.59252200
WBTC-USDC,19578958,19588957,155,2.00369177,176049.60846200
WBTC-USDC,19588958,19598957,68,0.66876915,58852.61790700
WBTC-USDC,19598958,19608957,77,0.66524839,58659.32839300
WBTC-USDC,19608958,19618957,90,0.89568056,79133.50228600
WBTC-USDC,19618958,19628957,339,3.52574376,312370.02484300
WBTC-USDC,19628958,19638957,94,0.61499977,54426.46573800
WBTC-USDC,19638958,19648957,67,0.60737782,54061.79066700
WBTC-USDC,19648958,19658957,105,1.04810491,93563.02641600
WBTC-USDC,19658958,19668957,93,0.82048876,73542.78020700
WBTC-USDC,19668958,19678957,391,4.59517828,411220.56831800
WBTC-USDC,19678958,19688957,176,1.23074784,109471.83636300
WBTC-USDC,19688958,19698957,153,1.41164406,124337.10993000
WBTC-USDC,19698958,19708957,93,0.66096372,58456.54537100
WBTC-USDC,19708958,19718957,85,1.00291159,88440.07067400
WBTC-USDC,19718958,19728957,58,0.71226983,62422.61520500
WBTC-USDC,19728958,19738957,29,0.39616931,34612.95545500
WBTC-USDC,19738958,19748957,35,0.98441803,86154.25571900
WBTC-USDC,19748958,19758957,167,4.17960513,365220.14646200
WBTC-USDC,19758958,19768957,233,5.46209789,477621.92161500
WBTC-USDC,19768958,19778957,167,2.71282202,237518.80852100
WBTC-USDC,19778958,19788957,172,3.99458831,350193.73720200
WBTC-USDC,19788958,19798957,39,1.36976070,119828.07995700
WBTC-USDC,19798958,19808957,95,0.89410307,77961.92574200
WBTC-USDC,19808958,19818957,77,1.02458728,89129.03840200
WBTC-USDC,19818958,19828957,28,0.42327387,36786.39982000
WBTC-USDC,19828958,19838957,44,0.89680781,78232.72620200
WBTC-USDC,19838958,19848957,153,4.16388604,362047.66694300
WBTC-USDC,19848958,19858957,84,1.43540191,125329.67762500
WBTC-USDC,19858958,19868957,14,0.23204628,20296.89280400
WBTC-USDC,19868958,19878957,64,0.36898954,32372.74522300
WBTC-USDC,19878958,19888957,23,0.24483485,21445.13186900
WBTC-USDC,19888958,19898957,9,0.05458776,4783.91427200
WBTC-USDC,19898958,19908957,25,0.22995024,20114.93741100
WBTC-USDC,19908958,19918957,30,0.32478955,28357.60046800
WBTC-USDC,19918958,19928957,27,0.12210423,10669.23094200
WBTC-USDC,19928958,19938957,132,1.06709730,93851.22938800
WBTC-USDC,19938958,19948957,18,0.25006828,22020.21196000
WBTC-USDC,19948958,19958957,26,0.39318356,34497.45996300
WBTC-USDC,19958958,19968957,141,2.05310279,179031.76186000
WBTC-USDC,19968958,19978957,288,1.64435321,145256.77764100
WBTC-USDC,19978958,19988957,59,0.51459796,45646.87980100
WBTC-USDC,19988958,19998957,154,1.19191470,105621.03334200
WBTC-USDC,19998958,20008957,34,0.28420536,25164.44360300
WBTC-USDC,20008958,20018957,158,2.07927934,182654.74586100
WBTC-USDC,20018958,20028957,153,1.68456226,146486.90855800
WBTC-USDC,20028958,20038957,37,0.69476626,60610.61781800
WBTC-USDC,20038958,20048957,24,0.26069959,22779.63042200
WBTC-USDC,20048958,20058957,13,0.26833237,23414.98497400
WBTC-USDC,20058958,20068957,26,0.86166232,75375.08716000
WBTC-USDC,20068958,20078957,14,0.15871339,13878.36730500
WBTC-USDC,20078958,20088957,10,0.05757967,5035.61981600
WBTC-USDC,20088958,20098957,16,0.11535455,10078.54991800
WBTC-USDC,20098958,20108957,29,0.15751159,13761.35610000
WBTC-USDC,20108958,20118957,12,0.01457674,1273.92305200
WBTC-USDC,20118958,20128957,7,0.05027488,4399.33878000
WBTC-USDC,20128958,20138957,44,0.68035599,59639.39000600
WBTC-USDC,20138958,20148957,9,0.15943416,13990.71066900
WBTC-USDC,20148958,20158957,12,0.11814529,10353.50191600
WBTC-USDC,20158958,20168957,13,0.19397438,17024.38280100
WBTC-USDC,20168958,20178957,28,0.22967750,20162.22228000
WBTC-USDC,20178958,20188957,15,0.16274404,14293.81756300
WBTC-USDC,20188958,20198957,29,0.37404610,32842.97158800
WBTC-USDC,20198958,20208957,37,0.43480597,38079.96544900
WBTC-USDC,20208958,20218957,24,0.20844214,18232.31798800
WBTC-USDC,20218958,20228957,116,1.54682306,135966.47706500
WBTC-USDC,20228958,20238957,279,1.73782051,154390.00598100
WBTC-USDC,20238958,20248957,80,0.51897152,46555.09748300
WBTC-USDC,20248958,20258957,176,1.85926065,165216.34670500
WBTC-USDC,20258958,20268957,169,1.75157738,153136.44764600
WBTC-USDC,20268958,20278957,220,2.89082527,252958.84599500
WBTC-USDC,20278958,20288957,141,1.75674590,153742.21037200
WBTC-USDC,20288958,20298957,111,1.39603881,121950.91013300
WBTC-USDC,20298958,20308957,52,0.42113865,36707.24360600
WBTC-USDC,20308958,20318957,47,0.52422198,45683.86323900
WBTC-USDC,20318958,20328957,85,0.72005276,62726.51349500
WBTC-USDC,20328958,20338957,40,0.49103733,42892.89432900
WBTC-USDC,20338958,20348957,161,1.53606375,134879.74643400
WBTC-USDC,20348958,20358957,65,0.55046489,48362.17192600
WBTC-USDC,20358958,20368957,295,3.44931524,304445.83213800
WBTC-USDC,20368958,20378957,140,1.63754181,144653.86772400
WBTC-USDC,20378958,20388957,118,1.33874578,117765.50142800
WBTC-USDC,20388958,20398957,32,0.21239345,18719.21138500
WBTC-USDC,20398958,20408957,69,0.69379924,61247.90209600
WBTC-USDC,20408958,20418957,25,0.20095655,17719.95851500
WBTC-USDC,20418958,20428957,36,0.29034493,25622.86607600
WBTC-USDC,20428958,20438957,98,0.63277481,55959.41529500
WBTC-USDC,20438958,20448957,101,0.73511298,65147.29211100
WBTC-USDC,20448958,20458957,208,2.03471400,178703.02496300
WBTC-USDC,20458958,20468957,60,0.50820649,44497.24114600
WBTC-USDC,20468958,20478957,53,0.47216121,41289.71906900
WBTC-USDC,20478958,20488957,46,0.47417885,41553.25708700
WBTC-USDC,20488958,20498957,40,0.42562194,37322.77132600
WBTC-USDC,20498958,20508957,5,0.05440342,4762.94377300
WBTC-USDC,20508958,20518957,40,0.88483427,77541.67768900
WBTC-USDC,20518958,20528957,9,0.05449125,4785.45065800
WBTC-USDC,20528958,20538957,27,0.29171755,25608.82247700
WBTC-USDC,20538958,20548957,93,0.77511324,68262.64163600
WBTC-USDC,20548958,20558957,29,0.28544805,25143.83843200
WBTC-USDC,20558958,20568957,36,0.43902709,38790.18661500
WBTC-USDC,20568958,20578957,53,0.58484311,51698.08463600
WBTC-USDC,20578958,20588957,67,0.57848304,51196.44139200
WBTC-USDC,20588958,20598957,59,0.42757642,37889.46529800
WBTC-USDC,20598958,20608957,110,0.69731069,62082.81921200
WBTC-USDC,20608958,20618957,99,0.64558478,57510.84287400
WBTC-USDC,20618958,20628957,538,5.34160184,475641.81685300
WBTC-USDC,20628958,20638957,311,3.03046517,272346.74421100
WBTC-USDC,20638958,20648957,128,1.29783128,116429.79944700
WBTC-USDC,20648958,20658957,77,0.51556830,46343.20574700
WBTC-USDC,20658958,20668957,39,0.24568275,22099.59380800
WBTC-USDC,20668958,20678957,51,0.46880018,42142.49365000
WBTC-USDC,20678958,20688957,93,0.96125576,85977.64534000
WBTC-USDC,20688958,20698957,31,0.27189809,24363.77161200
WBTC-USDC,20698958,20708957,40,0.34083250,30608.09202100
WBTC-USDC,20708958,20718957,41,0.28532499,25635.84864500
WBTC-USDC,20718958,20728957,10,0.08976529,8067.21581000
WBTC-USDC,20728958,20738957,61,0.24142455,21738.74615700
WBTC-USDC,20738958,20748957,189,1.51031564,137026.88894100
WBTC-USDC,20748958,20758957,86,0.69905899,63534.82962100
WBTC-USDC,20758958,20768957,42,0.41358063,37602.76147500
WBTC-USDC,20768958,20778957,62,0.42963527,39042.16047400
WBTC-USDC,20778958,20788957,67,0.43731567,39751.76347000
WBTC-USDC,20788958,20798957,75,0.43184509,39213.51004200
WBTC-USDC,20798958,20808957,60,0.75148023,68335.29530300
WBTC-USDC,20808958,20818957,112,1.30968893,119013.48322500
WBTC-USDC,20818958,20828957,132,1.25329762,114515.43135300
WBTC-USDC,20828958,20838957,222,1.88086710,173602.88558900
WBTC-USDC,20838958,20848957,133,1.15620948,106890.65057400
WBTC-USDC,20848958,20858957,99,0.66293412,61121.54739600
WBTC-USDC,20858958,20868957,125,1.04037301,96209.68068300
WBTC-USDC,20868958,20878957,117,0.97284031,90065.54314400
WBTC-USDC,20878958,20888957,353,3.58026751,333172.04682500
WBTC-USDC,20888958,20898957,221,2.03798832,190934.10529800
WBTC-USDC,20898958,20908957,171,1.46968391,138025.28819000
WBTC-USDC,20908958,20918957,79,0.49979948,46818.69055700
WBTC-USDC,20918958,20928957,63,0.42034604,39353.00675000
WBTC-USDC,20928958,20938957,44,0.30209170,28260.63519200
WBTC-USDC,20938958,20948957,87,0.82191552,76669.32000000
WBTC-USDC,20948958,20958957,23,0.20063015,18761.31349800
WBTC-USDC,20958958,20968957,272,2.27243901,213168.83936000
WBTC-USDC,20968958,20978957,274,2.87860884,267976.50720300
WBTC-USDC,20978958,20988957,227,2.14748594,197328.36817700
WBTC-USDC,20988958,20998957,221,2.66909606,248403.26427100
WBTC-USDC,20998958,21008957,112,1.33908383,124193.33093500
WBTC-USDC,21008958,21018957,64,0.82987847,76949.25622800
WBTC-USDC,21018958,21028957,37,0.58957040,54618.32119200
WBTC-USDC,21028958,21038957,90,1.05564319,97318.68196500
WBTC-USDC,21038958,21048957,49,0.53903194,49573.45186800
WBTC-USDC,21048958,21058957,359,4.46199394,408678.27796700
WBTC-USDC,21058958,21068957,168,2.06861656,189031.08424500
WBTC-USDC,21068958,21078957,115,1.51417401,137731.92258500
WBTC-USDC,21078958,21088957,120,1.29094875,117736.13504800
WBTC-USDC,21088958,21098957,51,0.97302748,88694.21661800
WBTC-USDC,21098958,21108957,54,0.74465916,67684.13420200
WBTC-USDC,21108958,21118957,143,2.05120307,185247.69147800
WBTC-USDC,21118958,21128957,69,1.25757509,113309.05685700
WBTC-USDC,21128958,21138957,88,1.22273320,110029.02344400
WBTC-USDC,21138958,21148957,424,4.69895229,423213.87980200
WBTC-USDC,21148958,21158957,124,1.12496118,102305.44752100
WBTC-USDC,21158958,21168957,112,0.87646211,79570.47169600
WBTC-USDC,21168958,21178957,44,0.34345350,31243.32889700
WBTC-USDC,21178958,21188957,163,1.49026408,135565.96759600
WBTC-USDC,21188958,21198957,37,0.29134459,26463.65132000
WBTC-USDC,21198958,21208957,143,1.42410051,128419.85595500
WBTC-USDC,21208958,21218957,42,0.50563278,45653.08373000
WBTC-USDC,21218958,21228957,257,2.94163380,265363.74211800
WBTC-USDC,21228958,21238957,295,3.33591707,303790.45824400
WBTC-USDC,21238958,21248957,210,1.87780879,169916.88949300
WBTC-USDC,21248958,21258957,53,0.58834258,53119.71004900
WBTC-USDC,21258958,21268957,8,0.06750450,6103.16426400
WBTC-USDC,21268958,21278957,15,0.13465415,12167.09992100
WBTC-USDC,21278958,21288957,12,0.12965191,11713.35852200
WBTC-USDC,21288958,21298957,13,0.06769915,6125.70228000
WBTC-USDC,21298958,21308957,9,0.06020047,5448.44862200
WBTC-USDC,21308958,21318957,9,0.08465596,7655.27124400
WBTC-USDC,21318958,21328957,9,0.05432874,4909.46726200
WBTC-USDC,21328958,21338957,3,0.01007379,909.75236300
WBTC-USDC,21338958,21348957,11,0.10798534,9754.53349500
WBTC-USDC,21348958,21358957,4,0.00059054,53.39136700
WBTC-USDC,21358958,21368957,21,0.08058036,7290.42018100
WBTC-USDC,21368958,21378957,9,0.10465916,9466.69416600
WBTC-USDC,21378958,21388957,7,0.07703335,6975.62005600
WBTC-USDC,21388958,21398957,15,0.05866821,5319.71200900
WBTC-USDC,21398958,21408957,85,0.46290976,42028.20403700
WBTC-USDC,21408958,21418957,19,0.30227397,27411.48891800
WBTC-USDC,21418958,21428957,22,0.47425583,42908.89464000
WBTC-USDC,21428958,21438957,128,1.67855525,152443.79643500
WBTC-USDC,21438958,21448957,122,1.09284144,100121.95068100
WBTC-USDC,21448958,21458957,39,0.39876888,36599.45650700
WBTC-USDC,21458958,21468957,71,1.18396620,107514.97691900
WBTC-USDC,21468958,21478957,22,0.54252377,49094.15411400
WBTC-USDC,21478958,21488957,124,1.69951667,153913.95901700
WBTC-USDC,21488958,21498957,134,1.85957999,169988.82689200
WBTC-USDC,21498958,21508957,63,0.76239664,69728.69023000
WBTC-USDC,21508958,21518957,30,0.58468967,53246.82536800
WBTC-USDC,21518958,21528957,23,0.38327401,34928.23143900
WBTC-USDC,21528958,21538957,64,0.60663768,55440.30139900
WBTC-USDC,21538958,21548957,65,0.52508094,48198.90226300
WBTC-USDC,21548958,21558957,67,0.61666179,56731.70425600
WBTC-USDC,21558958,21568957,54,0.77261585,71107.33159300
WBTC-USDC,21568958,21578957,260,2.45730381,227192.43854200
WBTC-USDC,21578958,21588957,167,1.39352940,129725.86473500
WBTC-USDC,21588958,21598957,120,0.87140202,81716.46544300
WBTC-USDC,21598958,21608957,365,2.97359728,281109.95477600
WBTC-USDC,21608958,21618957,89,0.53031667,50395.08591500
WBTC-USDC,21618958,21628957,76,0.61132774,58008.91055400
WBTC-USDC,21628958,21638957,95,0.63951429,60527.95790300
WBTC-USDC,21638958,21648957,83,0.63790168,60437.59763700
WBTC-USDC,21648958,21658957,127,1.17888151,111977.81387800
WBTC-USDC,21658958,21668957,296,2.70910509,261029.12650500
WBTC-USDC,21668958,21678957,264,2.97690010,287701.62561900
WBTC-USDC,21678958,21688957,58,0.74099547,71768.18535900
WBTC-USDC,21688958,21698957,142,1.19915206,115615.03840300
WBTC-USDC,21698958,21708957,284,2.35513244,225579.98359700
WBTC-USDC,21708958,21718957,71,0.73295633,70343.02454500
WBTC-USDC,21718958,21728957,159,1.32917664,128036.28243800
WBTC-USDC,21728958,21738957,99,1.15583050,111420.99755800
WBTC-USDC,21738958,21748957,260,3.69947194,355191.15244600
WBTC-USDC,21748958,21758957,397,5.13256309,493169.65017300
WBTC-USDC,21758958,21768957,174,1.95250588,186128.64770000
WBTC-USDC,21768958,21778957,68,1.06102326,101156.21252400
WBTC-USDC,21778958,21788957,59,0.99487432,94894.67341200
WBTC-USDC,21788958,21798957,55,0.56247527,53529.73057400
WBTC-USDC,21798958,21808957,32,0.52451509,50023.15584100
WBTC-USDC,21808958,21818957,33,0.39548875,37713.38299900
WBTC-USDC,21818958,21828957,13,0.22321945,21269.30010300
WBTC-USDC,21828958,21838957,194,3.10953611,294996.00833300
WBTC-USDC,21838958,21848957,61,0.64160352,60739.07456600
WBTC-USDC,21848958,21858957,65,0.70036524,66493.50540300
WBTC-USDC,21858958,21868957,10,0.10220786,9729.95807900
WBTC-USDC,21868958,21878957,23,0.46634386,44373.87514800
WBTC-USDC,21878958,21888957,8,0.03232866,3071.94113700
WBTC-USDC,21888958,21898957,22,0.21054403,20004.03056100
WBTC-USDC,21898958,21908957,39,0.23429762,22271.52918500
WBTC-USDC,21908958,21918957,36,0.28999872,27598.46187600
WBTC-USDC,21918958,21928957,51,0.52788130,50289.23423000
WBTC-USDC,21928958,21938957,10,0.03978584,3786.23728000
WBTC-USDC,21938958,21948957,17,0.24879513,23663.04850400
WBTC-USDC,21948958,21958957,15,0.16680733,15836.26912200
WBTC-USDC,21958958,21968957,25,0.61773577,58594.85700200
WBTC-USDC,21968958,21978957,8,0.06942427,6592.90732800
WBTC-USDC,21978958,21988957,32,0.32214894,30585.62101700
WBTC-USDC,21988958,21998957,11,0.01215072,1154.47151900
WBTC-USDC,21998958,22008957,37,0.62654573,59517.97968000
WBTC-USDC,22008958,22018957,39,0.48521394,46156.43355200
WBTC-USDC,22018958,22028957,34,0.32506158,30968.73134100
WBTC-USDC,22028958,22038957,387,4.12068823,385942.97376600
WBTC-USDC,22038958,22048957,441,4.50745235,416925.60608200
WBTC-USDC,22048958,22058957,57,0.74210795,68707.16929700
WBTC-USDC,22058958,22068957,96,1.09538120,101446.39423500
WBTC-USDC,22068958,22078957,36,0.51380205,47779.43930700
WBTC-USDC,22078958,22088957,57,0.81203182,75473.87346500
WBTC-USDC,22088958,22098957,52,0.81998093,76156.95676400
WBTC-USDC,22098958,22108957,40,0.37376701,34765.92352000
WBTC-USDC,22108958,22118957,49,0.60413036,56147.95196200
WBTC-USDC,22118958,22128957,184,2.13915882,197926.61826500
WBTC-USDC,22128958,22138957,49,0.77693745,71843.27574000
WBTC-USDC,22138958,22148957,422,2.96302819,270927.01006200
WBTC-USDC,22148958,22158957,338,1.99858030,181722.60001500
WBTC-USDC,22158958,22168957,157,1.06857048,97411.27298800
WBTC-USDC,22168958,22178957,705,4.48425049,407196.50670300
WBTC-USDC,22178958,22188957,570,3.79900034,343087.70216900
WBTC-USDC,22188958,22198957,124,1.75504609,157290.10504600
WBTC-USDC,22198958,22208957,157,2.81020738,249740.36206000
WBTC-USDC,22208958,22218957,261,1.09870255,97500.01801700
WBTC-USDC,22218958,22228957,206,1.13052723,100906.26829700
WBTC-USDC,22228958,22238957,172,1.20771890,108114.87535300
WBTC-USDC,22238958,22248957,210,1.60961342,143527.31855100
WBTC-USDC,22248958,22258957,293,1.96961947,174568.19212100
WBTC-USDC,22258958,22268957,455,4.31920853,386400.48719800
WBTC-USDC,22268958,22278957,805,7.68997169,677993.26149800
WBTC-USDC,22278958,22288957,441,3.96131480,354112.13265400
WBTC-USDC,22288958,22298957,125,1.73297062,155295.71910300
WBTC-USDC,22298958,22308957,87,1.36146596,122247.50113800
WBTC-USDC,22308958,22318957,55,0.61069668,54765.87272500
WBTC-USDC,22318958,22328957,46,0.71609094,64220.34062600
WBTC-USDC,22328958,22338957,44,0.45806361,41105.98671200
WBTC-USDC,22338958,22348957,171,4.39046446,392770.25449500
WBTC-USDC,22348958,22358957,377,8.01852091,712889.60184600
WBTC-USDC,22358958,22368957,215,4.25331008,379237.59857000
WBTC-USDC,22368958,22378957,132,2.86679880,255677.41038800
WBTC-USDC,22378958,22388957,42,0.76160296,67924.42642300
WBTC-USDC,22388958,22398957,79,0.98986123,88559.31031100
WBTC-USDC,22398958,22408957,82,2.23442319,200039.68507300
WBTC-USDC,22408958,22418957,75,1.60978513,143249.91236100
WBTC-USDC,22418958,22428957,42,0.95915042,85246.40033300
WBTC-USDC,22428958,22438957,236,5.79504862,514713.53878900
WBTC-USDC,22438958,22448957,394,9.62299966,863964.47589400
WBTC-USDC,22448958,22458957,242,6.07963553,545866.05082900
WBTC-USDC,22458958,22468957,63,1.51819673,135521.00667100
WBTC-USDC,22468958,22478957,28,0.43930031,39219.00546500
WBTC-USDC,22478958,22488957,30,0.45415911,40632.33939600
WBTC-USDC,22488958,22498957,20,0.36486475,32617.64903900
WBTC-USDC,22498958,22508957,7,0.01940466,1734.14384800
WBTC-USDC,22508958,22518957,9,0.10457633,9339.67303800
WBTC-USDC,22518958,22528957,36,1.15195772,102719.74679400
WBTC-USDC,22528958,22538957,25,0.29659625,26448.15982400
WBTC-USDC,22538958,22548957,16,0.14451452,12895.99720100
WBTC-USDC,22548958,22558957,55,0.79697449,71031.69240400
WBTC-USDC,22558958,22568957,28,0.48166044,42865.45974700
WBTC-USDC,22568958,22578957,74,1.33054661,118144.28626200
WBTC-USDC,22578958,22588957,92,1.67213215,147883.74833500
WBTC-USDC,22588958,22598957,67,0.86043433,76012.56370600
WBTC-USDC,22598958,22608957,90,1.25866951,111421.36901800
WBTC-USDC,22608958,22618957,239,5.09104216,447758.75344800
WBTC-USDC,22618958,22628957,418,8.22362420,716185.62851400
WBTC-USDC,22628958,22638957,252,6.73356718,581427.79858500
WBTC-USDC,22638958,22648957,246,5.55775157,481113.07906000
WBTC-USDC,22648958,22658957,227,3.13397135,273413.89998500
WBTC-USDC,22658958,22668957,66,0.95036073,83169.77785100
WBTC-USDC,22668958,22678957,170,2.58134507,226197.06779200
WBTC-USDC,22678958,22688957,45,0.69037453,60410.74222800
WBTC-USDC,22688958,22698957,255,4.95442329,434585.36271100
WBTC-USDC,22698958,22708957,365,7.81045729,682085.56009800
WBTC-USDC,22708958,22718957,121,2.84453469,249442.25520400
WBTC-USDC,22718958,22728957,110,2.08992110,183507.96585700
WBTC-USDC,22728958,22738957,96,1.22694662,108030.09231300
WBTC-USDC,22738958,22748957,51,0.70011655,61756.09373700
WBTC-USDC,22748958,22758957,43,0.84213276,74142.43105000
WBTC-USDC,22758958,22768957,59,0.96180097,84461.21980500
WBTC-USDC,22768958,22778957,42,0.88860011,77951.01218200
WBTC-USDC,22778958,22788957,307,6.26717225,549747.44794000
WBTC-USDC,22788958,22798957,284,5.64328516,494639.03405800
WBTC-USDC,22798958,22808957,198,2.55086678,225869.57312000
WBTC-USDC,22808958,22818957,86,1.14250651,101551.07516600
WBTC-USDC,22818958,22828957,64,1.23923720,110109.07362400
WBTC-USDC,22828958,22838957,54,1.11677527,99056.51170300
WBTC-USDC,22838958,22848957,64,0.84894895,75371.57471000
WBTC-USDC,22848958,22858957,122,1.75400212,156285.78081000
WBTC-USDC,22858958,22868957,161,2.46118406,220392.30350500
WBTC-USDC,22868958,22878957,248,5.66611697,504903.24088100
WBTC-USDC,22878958,22888957,365,7.69808843,687198.33620100
WBTC-USDC,22888958,22898957,171,2.80046527,249312.88225800
WBTC-USDC,22898958,22908957,83,1.78475507,158210.88779300
WBTC-USDC,22908958,22918957,186,2.84515127,250247.37342400
WBTC-USDC,22918958,22928957,37,0.98660032,86843.11835300
WBTC-USDC,22928958,22938957,75,1.93198011,169914.83562000
WBTC-USDC,22938958,22948957,116,1.54792872,135897.41631500
WBTC-USDC,22948958,22958957,605,5.10336798,444145.08166700
WBTC-USDC,22958958,22968957,537,11.84290281,1004532.08278200
WBTC-USDC,22968958,22978957,322,7.01166254,588430.05467700
WBTC-USDC,22978958,22988957,82,1.54207773,129974.18576000
WBTC-USDC,22988958,22998957,565,8.73841796,726160.47549200
WBTC-USDC,22998958,23008957,254,11.50545045,944873.46091100
WBTC-USDC,23008958,23018957,277,3.55546720,292381.25908100
WBTC-USDC,23018958,23028957,179,2.66108876,218521.69766000
WBTC-USDC,23028958,23038957,197,2.82280170,232425.22575600
WBTC-USDC,23038958,23048957,499,11.13703501,920044.49282900
WBTC-USDC,23048958,23058957,679,12.50292541,1032673.42074000
WBTC-USDC,23058958,23068957,581,12.97510721,1085370.29052900
WBTC-USDC,23068958,23078957,97,2.11526235,177236.83230400
WBTC-USDC,23078958,23088957,90,1.33629999,111869.93163200
WBTC-USDC,23088958,23098957,56,1.10090078,92054.14226800
WBTC-USDC,23098958,23108957,230,4.88273082,404673.80770100
WBTC-USDC,23108958,23118957,86,2.03135803,168202.70456900
WBTC-USDC,23118958,23128957,450,7.18870549,588895.92638000
WBTC-USDC,23128958,23138957,1136,19.71033681,1588613.69845500
WBTC-USDC,23138958,23148957,1356,30.49652218,2370797.22794200
WBTC-USDC,23148958,23158957,392,8.59057089,666978.76509500
WBTC-USDC,23158958,23168957,474,6.39351843,501739.07539900
WBTC-USDC,23168958,23178957,160,2.71880291,213254.83638300
WBTC-USDC,23178958,23188957,280,4.36769724,341317.94039700
WBTC-USDC,23188958,23198957,225,3.18517005,249601.10646500
WBTC-USDC,23198958,23208957,258,5.62796157,440146.69822200
WBTC-USDC,23208958,23218957,784,15.18768671,1176768.04662100
WBTC-USDC,23218958,23228957,564,11.73192981,907898.15216900
WBTC-USDC,23228958,23238957,503,12.18163092,938556.68923600
WBTC-USDC,23238958,23248957,1080,24.61565349,1889534.84434900
WBTC-USDC,23248958,23258957,711,16.60124808,1280182.26050600
WBTC-USDC,23258958,23268957,1051,17.64821420,1337737.89231800
WBTC-USDC,23268958,23278957,853,17.98833545,1365483.32645700
WBTC-USDC,23278958,23288957,333,4.82515608,371690.01074100
WBTC-USDC,23288958,23298957,325,3.45046719,267793.04342900
WBTC-USDC,23298958,23308957,995,13.71714350,1069721.36299400
WBTC-USDC,23308958,23318957,388,3.79736316,297193.24249900
WBTC-USDC,23318958,23328957,340,6.01332017,468924.08697600
